msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,0.015
2,HTTP,client_browser,web_server,Host: www.example.com,0.016
3,HTTP,client_browser,web_server,User-Agent: LidorBrowser/1.0,0.017
4,HTTP,client_browser,web_server,Accept: text/html,0.018
5,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.050
6,HTTP,web_server,client_browser,Content-Type: text/html,0.051
7,HTTP,web_server,client_browser,<html>Home Page</html>,0.052
8,HTTP,client_browser,web_server,GET /login HTTP/1.1,0.400
9,HTTP,client_browser,web_server,Host: www.example.com,0.401
10,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.450
11,HTTP,client_browser,web_server,POST /login HTTP/1.1,0.600
12,HTTP,client_browser,web_server,username=lidor,0.601
13,HTTP,client_browser,web_server,password=1234,0.602
14,HTTP,web_server,client_browser,HTTP/1.1 302 Redirect,0.650
15,HTTP,web_server,client_browser,Location: /home,0.651
16,HTTP,client_browser,web_server,GET /home HTTP/1.1,0.800
17,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.850
18,HTTP,web_server,client_browser,<html>Welcome Lidor!</html>,0.851
19,HTTP,client_browser,web_server,GET /products HTTP/1.1,1.100
20,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.150
21,HTTP,client_browser,web_server,GET /cart HTTP/1.1,1.300
22,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.350
23,HTTP,client_browser,web_server,POST /order HTTP/1.1,1.600
24,HTTP,client_browser,web_server,order_id=12345,1.601
25,HTTP,web_server,client_browser,HTTP/1.1 201 Created,1.650
26,HTTP,web_server,client_browser,Content-Type: application/json,1.651
27,HTTP,web_server,client_browser,{"status":"success"},1.652
28,HTTP,client_browser,web_server,GET /logout HTTP/1.1,2.000
29,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.050
30,HTTP,web_server,client_browser,<html>Goodbye</html>,2.051
